name	weight	coordinates
0	1	LINESTRING(293680 5040290, 294680.0 5040290.0)
1	1	LINESTRING(293680 5040290, 294645.92582628905 5040548.819045102)
2	1	LINESTRING(293680 5040290, 294546.0254037844 5040790.0)
3	1	LINESTRING(293680 5040290, 294387.10678118654 5040997.106781187)
4	1	LINESTRING(293680 5040290, 294180.0 5041156.025403785)
5	1	LINESTRING(293680 5040290, 293938.8190451025 5041255.925826289)
6	1	LINESTRING(293680 5040290, 293680.0 5041290.0)
7	1	LINESTRING(293680 5040290, 293421.1809548975 5041255.925826289)
8	1	LINESTRING(293680 5040290, 293180.0 5041156.025403785)
9	1	LINESTRING(293680 5040290, 292972.89321881346 5040997.106781187)
10	1	LINESTRING(293680 5040290, 292813.9745962156 5040790.0)
11	1	LINESTRING(293680 5040290, 292714.07417371095 5040548.819045102)
12	1	LINESTRING(293680 5040290, 292680.0 5040290.0)
13	1	LINESTRING(293680 5040290, 292714.07417371095 5040031.180954898)
14	1	LINESTRING(293680 5040290, 292813.9745962156 5039790.0)
15	1	LINESTRING(293680 5040290, 292972.89321881346 5039582.893218813)
16	1	LINESTRING(293680 5040290, 293180.0 5039423.974596215)
17	1	LINESTRING(293680 5040290, 293421.1809548975 5039324.074173711)
18	1	LINESTRING(293680 5040290, 293680.0 5039290.0)
19	1	LINESTRING(293680 5040290, 293938.8190451025 5039324.074173711)
20	1	LINESTRING(293680 5040290, 294180.0 5039423.974596215)
21	1	LINESTRING(293680 5040290, 294387.10678118654 5039582.893218813)
22	1	LINESTRING(293680 5040290, 294546.0254037844 5039790.0)
23	1	LINESTRING(293680 5040290, 294645.92582628905 5040031.180954898)
