name	weight	coordinates
0	1654	LINESTRING(293680 5040290, 294680.0 5040290.0)
1	1114	LINESTRING(293680 5040290, 294664.8077530122 5040463.648177667)
2	1025	LINESTRING(293680 5040290, 294619.6926207859 5040632.020143325)
3	1759	LINESTRING(293680 5040290, 294546.0254037844 5040790.0)
4	1281	LINESTRING(293680 5040290, 294446.04444311897 5040932.787609686)
5	1250	LINESTRING(293680 5040290, 294322.78760968655 5041056.044443119)
6	1228	LINESTRING(293680 5040290, 294180.0 5041156.025403785)
7	1142	LINESTRING(293680 5040290, 294022.0201433257 5041229.692620786)
8	1754	LINESTRING(293680 5040290, 293853.64817766694 5041274.8077530125)
9	1104	LINESTRING(293680 5040290, 293680.0 5041290.0)
10	1692	LINESTRING(293680 5040290, 293506.35182233306 5041274.8077530125)
11	1758	LINESTRING(293680 5040290, 293337.9798566743 5041229.692620786)
12	1913	LINESTRING(293680 5040290, 293180.0 5041156.025403785)
13	1558	LINESTRING(293680 5040290, 293037.21239031345 5041056.044443119)
14	1089	LINESTRING(293680 5040290, 292913.95555688103 5040932.787609686)
15	1604	LINESTRING(293680 5040290, 292813.9745962156 5040790.0)
16	1432	LINESTRING(293680 5040290, 292740.3073792141 5040632.020143325)
17	1032	LINESTRING(293680 5040290, 292695.1922469878 5040463.648177667)
18	1030	LINESTRING(293680 5040290, 292680.0 5040290.0)
19	1095	LINESTRING(293680 5040290, 292695.1922469878 5040116.351822333)
20	1223	LINESTRING(293680 5040290, 292740.3073792141 5039947.979856675)
21	1238	LINESTRING(293680 5040290, 292813.9745962156 5039790.0)
22	1517	LINESTRING(293680 5040290, 292913.95555688103 5039647.212390314)
23	1616	LINESTRING(293680 5040290, 293037.21239031345 5039523.955556881)
24	1027	LINESTRING(293680 5040290, 293180.0 5039423.974596215)
25	1574	LINESTRING(293680 5040290, 293337.9798566743 5039350.307379214)
26	1203	LINESTRING(293680 5040290, 293506.35182233306 5039305.1922469875)
27	1733	LINESTRING(293680 5040290, 293680.0 5039290.0)
28	1665	LINESTRING(293680 5040290, 293853.64817766694 5039305.1922469875)
29	1718	LINESTRING(293680 5040290, 294022.0201433257 5039350.307379214)
30	1558	LINESTRING(293680 5040290, 294180.0 5039423.974596215)
31	1429	LINESTRING(293680 5040290, 294322.78760968655 5039523.955556881)
32	1225	LINESTRING(293680 5040290, 294446.04444311897 5039647.212390314)
33	1459	LINESTRING(293680 5040290, 294546.0254037844 5039790.0)
34	1603	LINESTRING(293680 5040290, 294619.6926207859 5039947.979856675)
35	1284	LINESTRING(293680 5040290, 294664.8077530122 5040116.351822333)
