name	weight	coordinates
1	20	LINESTRING(312404.0 5039558.0, 299918.0 5035870.0)
2	15	LINESTRING(305150.0 5040042.0, 294936.0 5039379.0)
3	15	LINESTRING(303566.0 5040277.0, 294937.0 5039346.0)
4	16	LINESTRING(305008.0 5037559.0, 295112.0 5030974.0)
5	38	LINESTRING(309119.0 5038255.0, 296918.0 5045293.0)
6	42	LINESTRING(305143.0 5039872.0, 297357.0 5042193.0)
7	24	LINESTRING(303189.0 5042720.0, 301284.0 5051487.0)
8	23	LINESTRING(309044.0 5047760.0, 294656.0 5048405.0)
9	21	LINESTRING(303157.0 5041692.0, 297631.0 5043075.0)
10	33	LINESTRING(313741.0 5037812.0, 300800.0 5058667.0)
11	33	LINESTRING(307655.0 5048382.0, 298163.0 5038048.0)
12	22	LINESTRING(311362.0 5039951.0, 298861.0 5041714.0)
13	27	LINESTRING(314313.0 5040559.0, 302583.0 5051285.0)
14	26	LINESTRING(303140.0 5042731.0, 295634.0 5039332.0)
15	26	LINESTRING(309559.0 5044005.0, 298771.0 5041485.0)
16	31	LINESTRING(309448.0 5033709.0, 276149.0 5037656.0)
17	33	LINESTRING(305659.0 5042665.0, 298424.0 5047592.0)
18	33	LINESTRING(304675.0 5037506.0, 299450.0 5040667.0)
19	30	LINESTRING(307969.0 5046035.0, 299411.0 5040675.0)
20	27	LINESTRING(305736.0 5043948.0, 299359.0 5051103.0)
21	23	LINESTRING(307871.0 5045660.0, 296306.0 5046830.0)
22	32	LINESTRING(308133.0 5045686.0, 299228.0 5045794.0)
23	36	LINESTRING(304688.0 5044502.0, 300247.0 5041872.0)
24	33	LINESTRING(304632.0 5044544.0, 300400.0 5041496.0)
25	36	LINESTRING(304411.0 5044718.0, 300280.0 5041828.0)
26	35	LINESTRING(306564.0 5042453.0, 299892.0 5042888.0)
27	26	LINESTRING(305162.0 5045544.0, 299305.0 5042694.0)
28	19	LINESTRING(307462.0 5042412.0, 299736.0 5043767.0)
29	44	LINESTRING(309284.0 5044419.0, 295304.0 5040536.0)
30	26	LINESTRING(309698.0 5033450.0, 292083.0 5040364.0)
31	30	LINESTRING(314399.0 5040747.0, 301244.0 5052574.0)
32	32	LINESTRING(307835.0 5046099.0, 299641.0 5041003.0)
33	26	LINESTRING(311601.0 5048035.0, 295794.0 5053174.0)
34	20	LINESTRING(307657.0 5047868.0, 300670.0 5044912.0)
35	33	LINESTRING(307141.0 5048737.0, 291996.0 5046591.0)
36	27	LINESTRING(309172.0 5044820.0, 287857.0 5043681.0)
37	29	LINESTRING(303204.0 5042915.0, 294447.0 5045286.0)
38	27	LINESTRING(308375.0 5052342.0, 299845.0 5048522.0)
39	22	LINESTRING(308333.0 5052548.0, 299876.0 5048499.0)
40	30	LINESTRING(308348.0 5049266.0, 289569.0 5041965.0)
41	24	LINESTRING(309125.0 5044365.0, 299869.0 5040951.0)
42	30	LINESTRING(309175.0 5044629.0, 299623.0 5040999.0)
43	18	LINESTRING(309069.0 5048695.0, 297664.0 5054331.0)
44	41	LINESTRING(305017.0 5045868.0, 294452.0 5038971.0)
45	22	LINESTRING(309143.0 5050150.0, 303869.0 5052155.0)
46	22	LINESTRING(309413.0 5044825.0, 300285.0 5041750.0)
47	19	LINESTRING(309435.0 5033522.0, 295666.0 5037277.0)
48	30	LINESTRING(305185.0 5045606.0, 280894.0 5035264.0)
49	31	LINESTRING(307431.0 5043130.0, 295554.0 5040132.0)
50	27	LINESTRING(307403.0 5043169.0, 300410.0 5042091.0)
51	31	LINESTRING(307196.0 5043399.0, 299750.0 5040085.0)
52	35	LINESTRING(305691.0 5045282.0, 295837.0 5041960.0)
53	24	LINESTRING(307485.0 5035443.0, 300510.0 5035465.0)
54	27	LINESTRING(314200.0 5040509.0, 301141.0 5045060.0)
55	26	LINESTRING(305213.0 5046178.0, 296915.0 5047900.0)
56	35	LINESTRING(307403.0 5037255.0, 297875.0 5042281.0)
57	32	LINESTRING(302946.0 5042938.0, 298444.0 5038155.0)
58	32	LINESTRING(305884.0 5046404.0, 301481.0 5049997.0)
59	35	LINESTRING(307031.0 5048418.0, 299245.0 5044698.0)
60	43	LINESTRING(310206.0 5046627.0, 304821.0 5059583.0)
61	38	LINESTRING(308013.0 5047147.0, 300789.0 5046145.0)
62	21	LINESTRING(315127.0 5042389.0, 298836.0 5045821.0)
63	35	LINESTRING(304992.0 5045979.0, 298699.0 5039837.0)
64	37	LINESTRING(307213.0 5043365.0, 297356.0 5044023.0)
65	51	LINESTRING(304966.0 5039604.0, 300448.0 5051546.0)
66	36	LINESTRING(315212.0 5041514.0, 291764.0 5045737.0)
67	29	LINESTRING(309568.0 5050429.0, 300975.0 5045903.0)
68	34	LINESTRING(308313.0 5045477.0, 300761.0 5046418.0)
69	26	LINESTRING(307305.0 5032321.0, 298605.0 5051002.0)
70	24	LINESTRING(307067.0 5044017.0, 300729.0 5041915.0)
71	26	LINESTRING(306584.0 5045272.0, 300525.0 5041904.0)
72	23	LINESTRING(309386.0 5035952.0, 295043.0 5040267.0)
73	34	LINESTRING(309567.0 5035753.0, 300061.0 5041678.0)
74	34	LINESTRING(309581.0 5035901.0, 299236.0 5039739.0)
75	29	LINESTRING(308028.0 5042736.0, 297262.0 5048451.0)
76	33	LINESTRING(308053.0 5042572.0, 297203.0 5043541.0)
77	37	LINESTRING(307888.0 5042718.0, 292360.0 5039777.0)
78	45	LINESTRING(308652.0 5037198.0, 302894.0 5040811.0)
79	33	LINESTRING(306720.0 5042286.0, 299500.0 5037661.0)
80	36	LINESTRING(306430.0 5042419.0, 286141.0 5039349.0)
81	32	LINESTRING(303733.0 5043293.0, 300837.0 5048095.0)
82	32	LINESTRING(312344.0 5038315.0, 287974.0 5036607.0)
