name	weight	coordinates
0	1913	LINESTRING(290424.13198951836 5038577.45672704, 295244.2439920317 5048310.671634226)
1	1574	LINESTRING(297402.7999454211 5047832.471975507, 299607.29000855796 5051867.494334702)
2	1006	LINESTRING(298323.6275950417 5051615.194604131, 294498.15940993 5048742.49992008)
3	1104	LINESTRING(294200.2873002927 5039907.593334937, 302140.40937023365 5053936.741019227)
4	1549	LINESTRING(302356.93762772414 5053255.397215121, 293189.6698887158 5041038.058988373)
5	1370	LINESTRING(303401.6885899355 5054021.940362259, 292827.8005574244 5047005.662825005)
6	1238	LINESTRING(299460.0430612487 5049431.265899973, 291421.2211112796 5045185.37747262)
7	1686	LINESTRING(298213.7150163005 5042981.827864251, 293557.60148165707 5040237.409517788)
8	1167	LINESTRING(293713.0120890598 5045516.048673201, 297546.4673384486 5038771.495649417)
9	1786	LINESTRING(295762.99043210904 5052179.159993393, 294193.83267635875 5041197.23949518)
