name	weight	coordinates
0	1	LINESTRING(293590.0 5039790.0, 293590.0 5040790.0)
1	1	LINESTRING(293610.0 5039790.0, 293610.0 5040790.0)
2	1	LINESTRING(293630.0 5039790.0, 293630.0 5040790.0)
3	1	LINESTRING(293650.0 5039790.0, 293650.0 5040790.0)
4	1	LINESTRING(293670.0 5039790.0, 293670.0 5040790.0)
5	1	LINESTRING(293690.0 5039790.0, 293690.0 5040790.0)
6	1	LINESTRING(293710.0 5039790.0, 293710.0 5040790.0)
7	1	LINESTRING(293730.0 5039790.0, 293730.0 5040790.0)
8	1	LINESTRING(293750.0 5039790.0, 293750.0 5040790.0)
9	1	LINESTRING(293770.0 5039790.0, 293770.0 5040790.0)
