id;xorig;yorig;xdest;ydest;facper
1;312404;5039558;299918;5035870;19.825
2;305150;5040042;294936;5039379;15.239
3;303566;5040277;294937;5039346;15.464
4;305008;5037559;295112;5030974;16.226
5;309119;5038255;296918;5045293;38.498
6;305143;5039872;297357;5042193;42.102
7;303189;5042720;301284;5051487;23.550
8;309044;5047760;294656;5048405;23.259
9;303157;5041692;297631;5043075;20.933
10;313741;5037812;300800;5058667;33.424
11;307655;5048382;298163;5038048;33.236
12;311362;5039951;298861;5041714;22.303
13;314313;5040559;302583;5051285;27.052
14;303140;5042731;295634;5039332;26.393
15;309559;5044005;298771;5041485;25.972
16;309448;5033709;276149;5037656;31.134
17;305659;5042665;298424;5047592;32.691
18;304675;5037506;299450;5040667;32.529
19;307969;5046035;299411;5040675;29.907
20;305736;5043948;299359;5051103;27.417
21;307871;5045660;296306;5046830;22.745
22;308133;5045686;299228;5045794;31.735
23;304688;5044502;300247;5041872;35.979
24;304632;5044544;300400;5041496;33.149
25;304411;5044718;300280;5041828;35.878
26;306564;5042453;299892;5042888;34.711
27;305162;5045544;299305;5042694;25.911
28;307462;5042412;299736;5043767;18.701
29;309284;5044419;295304;5040536;44.466
30;309698;5033450;292083;5040364;26.116
31;314399;5040747;301244;5052574;29.586
32;307835;5046099;299641;5041003;31.939
33;311601;5048035;295794;5053174;26.005
34;307657;5047868;300670;5044912;19.566
35;307141;5048737;291996;5046591;33.130
36;309172;5044820;287857;5043681;26.814
37;303204;5042915;294447;5045286;28.626
38;308375;5052342;299845;5048522;26.806
39;308333;5052548;299876;5048499;21.632
40;308348;5049266;289569;5041965;30.415
41;309125;5044365;299869;5040951;23.909
42;309175;5044629;299623;5040999;30.384
43;309069;5048695;297664;5054331;17.969
44;305017;5045868;294452;5038971;40.624
45;309143;5050150;303869;5052155;22.070
46;309413;5044825;300285;5041750;22.000
47;309435;5033522;295666;5037277;18.879
48;305185;5045606;280894;5035264;29.578
49;307431;5043130;295554;5040132;31.348
50;307403;5043169;300410;5042091;27.023
51;307196;5043399;299750;5040085;31.233
52;305691;5045282;295837;5041960;34.745
53;307485;5035443;300510;5035465;23.621
54;314200;5040509;301141;5045060;26.517
55;305213;5046178;296915;5047900;26.065
56;307403;5037255;297875;5042281;35.484
57;302946;5042938;298444;5038155;32.141
58;305884;5046404;301481;5049997;32.397
59;307031;5048418;299245;5044698;35.225
60;310206;5046627;304821;5059583;43.305
61;308013;5047147;300789;5046145;37.774
62;315127;5042389;298836;5045821;21.127
63;304992;5045979;298699;5039837;35.393
64;307213;5043365;297356;5044023;36.520
65;304966;5039604;300448;5051546;50.512
66;315212;5041514;291764;5045737;36.479
67;309568;5050429;300975;5045903;28.629
68;308313;5045477;300761;5046418;33.985
69;307305;5032321;298605;5051002;26.026
70;307067;5044017;300729;5041915;23.898
71;306584;5045272;300525;5041904;26.450
72;309386;5035952;295043;5040267;22.638
73;309567;5035753;300061;5041678;34.154
74;309581;5035901;299236;5039739;33.520
75;308028;5042736;297262;5048451;29.144
76;308053;5042572;297203;5043541;32.736
77;307888;5042718;292360;5039777;36.580
78;308652;5037198;302894;5040811;44.614
79;306720;5042286;299500;5037661;32.520
80;306430;5042419;286141;5039349;36.364
81;303733;5043293;300837;5048095;32.020
82;312344;5038315;287974;5036607;31.530
83;307580;5035778;287823;5043938;27.376
84;306382;5041330;297682;5043525;34.769
85;306528;5036952;298652;5041018;41.305
86;307064;5035502;293953;5045690;30.899
87;306800;5046301;301061;5048247;26.338
88;307895;5044381;301048;5042106;21.865
89;312828;5039024;293595;5030682;34.745
90;307051;5043532;297072;5043673;26.576
91;307281;5046818;300436;5041500;25.196
92;312271;5037332;300020;5040807;23.475
93;306937;5038675;300700;5036110;17.997
94;306911;5038639;300561;5036128;18.924
95;307334;5042581;295763;5049117;32.701
96;306770;5038990;293778;5031543;40.603
97;306773;5043057;295923;5049461;24.176
98;308583;5044339;301578;5045540;37.458
99;303182;5042657;299596;5040129;26.115
100;304695;5045491;274193;5034559;28.174
101;307343;5038204;298101;5048017;26.879
102;305980;5044038;299862;5040887;26.091
103;311032;5047019;300736;5049549;25.761
104;305572;5035413;298672;5039610;35.521
105;305797;5035449;279735;5035646;29.425
106;306838;5036895;301456;5035885;19.509
107;305683;5039916;299982;5051667;23.068
108;306015;5044158;297942;5049328;30.029
109;308657;5048347;305315;5061480;29.366
110;307982;5039895;286920;5035569;27.771
111;308700;5039511;298915;5039665;39.759
112;304980;5041043;299244;5040392;27.431
113;304045;5040307;295178;5035674;18.770
114;303778;5043218;297371;5054388;26.867
115;307667;5041164;301843;5050110;24.565
116;306816;5040217;297473;5045133;22.355
117;311895;5043596;297719;5055187;30.224
118;315014;5042949;297619;5045211;36.044
119;302984;5043226;300032;5041676;35.476
120;306370;5037149;299196;5040419;44.443
121;306332;5036938;299125;5040357;36.172
122;306614;5044305;298797;5041493;33.177
123;306465;5040178;296711;5032727;28.521
124;305582;5040515;295859;5040946;28.719
125;312818;5038198;293879;5045176;33.254
126;309968;5037742;299403;5040140;31.284
127;304699;5043055;295382;5040130;56.114
128;304711;5043262;298848;5035969;30.121
129;306697;5041249;304066;5049756;28.076
130;303702;5042106;299249;5039829;35.352
131;308455;5036725;295104;5043237;29.063
132;308264;5036921;298415;5046513;31.349
133;306669;5043756;299485;5039995;34.152
134;308160;5039377;299951;5039409;24.502
135;305922;5040872;297518;5047269;22.664
136;303996;5040111;300401;5041828;40.930
