name	weight	coordinates
0	1108	LINESTRING(287256.75197332236 5045801.751973323, 296231.6430584901 5040750.748348924)
1	1797	LINESTRING(305160.588928468 5042538.605586654, 297284.99826122896 5049889.309405315)
2	1826	LINESTRING(287261.75028397545 5045800.424971603, 293823.1597290807 5049815.460325798)
3	1778	LINESTRING(305161.48742367147 5042541.426061931, 293219.69045349135 5048185.470606019)
4	1987	LINESTRING(287259.40442193946 5045810.468548519, 298518.1182220153 5052679.394729873)
5	1448	LINESTRING(305166.13427585707 5042521.781379317, 293094.2435731173 5044550.8868184835)
6	1007	LINESTRING(287245.9210922312 5045783.462700482, 298558.7133013156 5052522.248553969)
7	1685	LINESTRING(305143.13039782643 5042554.30440326, 290811.89486860565 5039401.366451979)
8	1416	LINESTRING(287265.91339417134 5045817.742621267, 296115.753373206 5040905.085929492)
9	1661	LINESTRING(305154.6923840155 5042533.598982873, 295374.48434846173 5048477.791434416)
